from_code,from_name,to_code,to_name,state,geodesic_km,train_km,ratio,detour_km
KHD,KHODIYAR,SEJ,SARKHEJ,Gujarat,20.1,340.3,16.93,320.2
SBT,SABARMATI JN,MORA,MORAIYA,Gujarat,20.0,324.8,16.23,304.8
KLL,KALOL JN,GG,GANDHIGRAM,Gujarat,25.1,355.2,14.14,330.0
KHD,KHODIYAR,MORA,MORAIYA,Gujarat,25.2,334.5,13.27,309.3
KLL,KALOL JN,VTP,VASTRAPUR,Gujarat,26.3,349.5,13.27,323.2
BYP,Baijnathpur,BDMA,Budhma,Bihar,20.3,249.6,12.28,229.3
KLL,KALOL JN,SEJ,SARKHEJ,Gujarat,29.2,346.0,11.84,316.8
HA,HARGAON,TKUR,TAPPA KHAJURIA,,21.4,244.7,11.46,223.3
CI,CHHAPRA KACHERI,KUA,KULHARIA,,24.2,271.1,11.18,246.8
SPC,SITAPUR CITY,HA,HARGAON,Uttar Pradesh,21.2,234.8,11.09,213.6
ARA,ARA,GTST,GAUTAMSTHAN,,26.5,289.3,10.93,262.8
CI,CHHAPRA KACHERI,KWR,KOELWAR,,24.6,267.6,10.89,243.1
AKN,AKBARNAGAR,THB,THANA BIHPUR JN,,20.3,220.6,10.86,200.3
CI,CHHAPRA KACHERI,JMIR,JAMIRA HALT,,25.5,276.0,10.81,250.5
NAT,NATHNAGAR,NNA,NAUGACHIA,,22.9,246.8,10.77,223.8
HA,HARGAON,HMP,HEMPUR,,23.6,246.9,10.48,223.4
ARA,ARA,CPR,CHHAPRA,,27.3,283.1,10.35,255.8
HA,HARGAON,STRK,SITAPUR KUTCHERY HALT,,23.1,237.1,10.26,214.0
HA,HARGAON,PSN,PARSENDI,,23.4,239.4,10.23,216.0
KLL,KALOL JN,MORA,MORAIYA,Gujarat,33.5,340.2,10.16,306.7
ARA,ARA,CI,CHHAPRA KACHERI,,27.7,280.9,10.14,253.2
HA,HARGAON,SCC,SITAPUR CANT,,23.5,238.1,10.13,214.6
ARA,ARA,BKLA,BAKULHA,,30.2,303.8,10.07,273.6
PNBE,PATNA JN,DGA,DIGHWARA,,20.7,207.4,10.04,186.8
CI,CHHAPRA KACHERI,JGWL,JAGJIVAN HALT,,29.0,284.1,9.81,255.2
ARA,ARA,GJH,GOLDINGANJ,,28.2,272.6,9.68,244.4
PNBE,PATNA JN,STLR,SITALPUR,,21.0,203.1,9.66,182.1
CLDY,CHANDLODIYA,VLA,BAVLA,Gujarat,32.4,313.3,9.66,280.9
AKN,AKBARNAGAR,PSR,PASRAHA,,20.9,201.4,9.65,180.6
ROZA,ROZA JN,DOT,Dhakia Tiwari,Uttar Pradesh,20.7,199.6,9.64,178.9
ADI,AHMEDABAD JN,VLA,BAVLA,Gujarat,32.3,310.6,9.62,278.3
ROU,ROURKELA,BSPX,Banspani,Orissa,63.0,599.5,9.51,536.4
SGG,SULTANGANJ,NNR,NARAYANPUR,,21.4,203.1,9.47,181.7
ARA,ARA,MHT,MANJHI,,32.1,298.4,9.31,266.3
CI,CHHAPRA KACHERI,BTA,BIHTA,,28.1,259.4,9.24,231.3
SHC,SAHARSA JN,BDMA,Budhma,Bihar,26.4,243.1,9.21,216.7
ROU,ROURKELA,JRLI,Jaroli,Orissa,65.0,594.2,9.14,529.2
NWD,NAWADIH,RGD,Rajgir,Bihar,21.1,193.3,9.14,172.2
HA,HARGAON,MAHO,MAHOLI,,28.1,256.1,9.11,228.0
CI,CHHAPRA KACHERI,KRS,KARISATH,,32.1,290.9,9.06,258.7
ARA,ARA,SIP,SURAIMANPUR,,34.2,310.2,9.06,276.0
TIA,TILAYA,RGD,Rajgir,Bihar,23.5,209.9,8.93,186.4
CI,CHHAPRA KACHERI,PATL,PATEL HALT,,28.9,256.9,8.89,228.0
SPC,SITAPUR CITY,OEL,OEL,Uttar Pradesh,27.1,240.8,8.88,213.7
ARA,ARA,DRI,DUMRI JUARA,,30.4,268.7,8.85,238.3
SBI,SABARMATI JN,VLA,BAVLA,Gujarat,35.0,308.9,8.82,273.8
SBT,SABARMATI JN,VLA,BAVLA,Gujarat,35.6,309.2,8.7,273.6
ARA,ARA,KPS,KOPA SAMHOTA,,33.7,293.2,8.7,259.5
BNDM,BONDAMUNDA,NYG,Nayagarh,Orissa,68.4,587.9,8.59,519.5
CI,CHHAPRA KACHERI,SDE,SADISOPUR,,29.8,255.0,8.56,225.2
CI,CHHAPRA KACHERI,KYA,KAURIYA,,34.6,295.1,8.53,260.5
PNBE,PATNA JN,AYRN,AKSHAYWAT RAI NAGAR,Bihar,20.3,171.6,8.45,151.2
PNBE,PATNA JN,ATNR,AWATAR NAGAR,,25.5,212.6,8.34,187.1
