code,name,state,lat,lon,degree,weighted_degree,betweenness_track,betweenness_rank
MB,MORADABAD,,28.831621,78.765801,13,346,0.0056522331336119,1
KIUL,KIUL JN,,25.171504,86.106198,8,319,0.0053593035266342,2
LKR,LUCKEESARAI JN,,25.1716617005,86.093210587,5,314,0.004368747233289,3
SCC,SITAPUR CANT,,27.559468,80.698784,10,23,0.0040021395897889,4
AII,AJMER JN,Rajasthan,26.456612,74.63746400000001,6,106,0.0036018887413309,5
RNC,RANCHI,,23.348811,85.33352,5,91,0.0036011509517485,6
MKB,MANKATHA,,25.207216,86.056352,3,282,0.0032554227534307,7
BRYA,BARHIYA,,25.2832026,86.01507679999999,4,282,0.0032332890659583,8
PNBE,PATNA JN,,25.60256,85.136824,7,297,0.0030799137156317,9
DLI,OLD DELHI,Delhi NCT,28.661816,77.228356,9,169,0.0030591707245093,10
HTZ,HATHIDAH JN,,25.367027,85.987826,5,349,0.0030014755791648,11
UREN,UREN,,25.1712379405,86.2142016541,5,36,0.0024417146229895,12
AHA,ABHAIPUR,,25.2159864584,86.32307245909999,4,112,0.002410358565737,13
BSB,VARANASI JN,,25.327281,82.986468,8,288,0.0023882248782647,14
DRH,DHARHARA,,25.2578934114,86.4115380682,3,112,0.0023771580345285,15
DRTP,DASHARATHPUR,,25.265181819,86.46453228029999,3,107,0.00234395750332,16
JMP,JAMALPUR JN,,25.313906,86.492285,3,99,0.0023107569721115,17
HTE,HATIA,,23.311613,85.308218,6,33,0.0022484137523978,18
BUP,BARIARPUR,,25.2810286076,86.5740372229,3,126,0.0020209018996477,19
KEI,KASHI,,25.326564,83.031939,3,178,0.001909863333733,20
GD,GONDA JN,,27.154613,81.97815200000001,8,198,0.0018387986515476,21
DSB,DELHI SADAR BAZAR,,28.658656,77.216852,5,259,0.0016925630810092,22
JBP,JABALPUR,Madhya Pradesh,23.164636,79.950919,6,210,0.0016589198760513,23
NDLS,NEW DELHI,,28.642314,77.22000399999999,3,209,0.0016533864541832,24
KLRE,KHALARI,,23.651055,85.001627,4,59,0.0016378928729526,25
BNDM,BONDAMUNDA,,22.2355174,84.92505809999999,7,127,0.0015619424938669,26
LKO,LUCKNOW,,26.830675,80.925291,8,397,0.0014879167832571,27
CAR,CHUNAR,,25.103351,82.874703,5,340,0.0014431164231961,28
BE,BAREILLY,,28.3371543,79.4108444,5,303,0.0014342629482071,29
SRY,SIRARI,Bihar,25.132853,85.952587,4,36,0.0013718459495351,30
COR,CHITTAURGARH,Rajasthan,24.874341,74.623687,5,70,0.0013413014608233,31
SHK,SHEIKPURA,Bihar,25.132088,85.854024,4,36,0.0013275785745905,32
KPRD,KALYANPUR ROAD,,25.2755648864,86.5806353711,5,20,0.001295927401505,33
KSC,KASHI CHAK,Bihar,25.070798999999997,85.718754,4,36,0.001285524568393,34
RGB,RAMGANGA,Uttar Pradesh,28.298118,79.375029,5,76,0.0012394864984506,35
SBP,SAMBALPUR,,21.4830514376,83.9603252667,7,77,0.0012225173380551,36
WRS,WARIS ALEGANJ,Bihar,25.015425,85.642177,5,36,0.0012014165559982,37
BTG,BASHARATGANJ,Uttar Pradesh,28.288009,79.2851956,3,52,0.0011930057547587,38
ROU,ROURKELA,,22.22844,84.86313200000001,7,142,0.0011830455953961,39
NUQ,NAGAR UNTARI,Jharkhand,24.285735,83.51416499999999,4,40,0.001148738379814,40
AO,AONLA,Uttar Pradesh,28.296051,79.16915,5,52,0.0011465250110668,41
ANVT,ANAND VIHAR TRM,,28.6505035654,77.31521255,4,281,0.0011440903054448,42
NWD,NAWADIH,Bihar,24.886758,85.54864500000001,5,36,0.0011173085436033,43
LUSA,LUSA,Uttar Pradesh,24.876546,82.843318,4,38,0.0010837364033276,44
ADI,AHMEDABAD JN,,23.025515,72.601516,11,307,0.0010619954046248,45
TIL,TILRATH,Bihar,25.441179,86.06853100000001,3,155,0.0010606463036741,46
BGS,BEGU SARAI,Bihar,25.425296,86.134476,3,160,0.00105326840785,47
TIA,TILAYA,Bihar,24.821998,85.401101,5,36,0.0010332005312084,48
SBB,SAHIBABAD,,28.674037,77.364182,6,561,0.0010225763612217,49
WZJ,WAZERGANJ,Bihar,24.813122,85.225637,4,36,0.000991146525011,50
BGP,BHAGALPUR,,25.241909300000003,86.9767918,4,85,0.0009650287737937,51
NIR,Nainpur Junction,Madhya Pradesh,22.425676,80.108853,7,33,0.0009617087206728,52
ZBD,ZAFARABAD JN,,25.708436,82.719014,5,198,0.0009141212926073,53
ALD,ALLAHABAD JN,,25.446241,81.828816,8,423,0.0009119079238601,54
PRBZ,Parsa Bazar,Bihar,25.550023,85.11887899999999,3,57,0.0009034971226206,55
SGG,SULTANGANJ,,25.24085,86.736175,6,104,0.0008827652353548,56
JNU,JAUNPUR JN,Uttar Pradesh,25.762849,82.69969599999999,4,95,0.0008764940239043,57
GZB,GHAZIABAD,,28.649702,77.431099,5,560,0.0008676405489154,58
PPN,Punpun,Bihar,25.4882296425,85.09876768800001,4,72,0.0008592297476759,59
PFT,Pothahi,Bihar,25.486605,85.098643,4,72,0.0008171757414785,60
MNP,MANANPUR,,25.1049319287,86.15540512449999,4,226,0.0007968127490039,61
NDW,Nadwan,Bihar,25.3966869286,85.0656737195,4,72,0.000775121735281,62
NAT,NATHNAGAR,,25.237052,86.935373,5,81,0.0007529142688505,63
TEA,Taregna,Bihar,25.3552301906,85.038112915,5,72,0.0007330677290836,64
DUB,DABTARA,Uttar Pradesh,28.368424,78.991164,4,52,0.0007328545350371,65
RBGJ,ROBERTS GANJ,Uttar Pradesh,24.683136,83.077822,4,38,0.0007328545350371,66
BRC,VADODARA JN,,22.310756,73.181065,7,479,0.0007104913678618,67
AGY,AGORI KHAS,Uttar Pradesh,24.59896,83.056105,3,36,0.0006972111553784,68
AFR,ASAFPUR,Uttar Pradesh,28.405553,78.905957,4,52,0.0006972111553784,69
JMU,JAMUI,,24.971949,86.25477500000001,5,226,0.0006949977866312,70
KRJR,KARJARA,Bihar,24.808297,85.151844,4,36,0.0006902157257258,71
CH,CHANDAUSI JN,Uttar Pradesh,28.458626,78.780268,7,65,0.0006529437804338,72
CPU,CHOPAN,Uttar Pradesh,24.51403,83.025843,4,52,0.0006496237273129,73
NDU,Nadauj,Bihar,25.296538788200003,85.0173352112,5,72,0.0006489597166888,74
SBT,SABARMATI JN,,23.077546,72.58928200000001,7,329,0.0005889668837876,75
KLL,KALOL JN,Gujarat,23.244576,72.50363,7,170,0.000581101828287,76
JHD,Jehanabad,Bihar,25.224705,84.989964,3,72,0.0005648517042939,77
TATA,TATANAGAR JN,,22.768954,86.20056000000001,8,134,0.0005378486055776,78
GNNA,GANGANI,,25.265514,86.593002,5,102,0.0005252124167765,79
BELA,Bela,Bihar,24.97843,84.981353,5,72,0.0004962372731297,80
UDZ,UDAIPUR CITY,Rajasthan,24.566862,73.699632,3,13,0.000493581230633,81
HBG,HOWBAGH JABALPUR,Madhya Pradesh,23.156296,79.932199,4,158,0.000493581230633,82
RJPB,RAJENDRA NAGAR BIHAR,,25.603351,85.162449,3,278,0.000490790461343,83
PWS,PHULWARI SHARIF,,25.586297,85.07942999999999,3,282,0.0004891544931385,84
DNR,DANAPUR,,25.581921,85.044629,3,282,0.0004648074369189,85
SBO,SABAUR,,25.239083,87.045918,3,74,0.0004625940681717,86
VYN,VYASNAGAR,,25.29701,83.071351,3,183,0.0004448871181938,87
PDE,Pindrai,Madhya Pradesh,22.5117997936,80.0462042108,5,27,0.0004426737494466,88
MFJ,Muftiganj,Uttar Pradesh,25.700913,82.827774,4,9,0.0004426737494466,89
