station_a,station_b,num_trains
FM,HPG,76
FM,NSVP,40
HPG,YKA,111
YKA,DQR,111
DQR,MXT,112
MXT,KCG,104
KCG,VAR,100
VAR,JOO,104
JOO,ATC,104
ATC,STPD,104
STPD,SC,76
STPD,LGDH,22
SC,JET,128
SC,LGDH,25
SC,MLY,83
SC,BZA,1
JET,SJVP,137
SJVP,BMT,133
SJVP,NLRD,4
BMT,NCHS,165
BMT,NLRD,102
BMT,YG,2
BMT,RC,2
NCHS,FNB,164
NCHS,SNF,1
FNB,SNF,162
FNB,BTNR,2
SNF,BTNR,163
BTNR,BRBD,165
BRBD,HTCY,165
HTCY,HFZ,165
HFZ,CDNR,165
CDNR,LPI,111
PNQ,TCR,164
PNQ,AMLR,12
PNQ,MGK,155
TCR,OLR,161
AMLR,GUV,6
PBR,RWO,12
PBR,JAM,1
RWO,RNBD,24
RNBD,SKR,24
SKR,WSJ,24
WSJ,BNVD,16
WSJ,KTLA,6
BNVD,GOP,14
GOP,LPJ,14
LPJ,KNLS,13
KNLS,PPLI,40
KNLS,MDPR,28
PPLI,LKBL,40
LKBL,JAM,39
LKBL,HAPA,1
JAM,HAPA,42
HAPA,ALB,49
ALB,WTJ,52
WTJ,JALD,50
WTJ,HM,2
JALD,CX,44
JALD,HM,6
CX,PDH,48
CX,HM,4
PDH,KHDI,52
PDH,HM,4
KHDI,RJT,51
RJT,BLWR,68
RJT,BKNG,20
BLWR,KHC,70
KHC,KNKT,70
KNKT,SDD,70
SDD,AXA,70
AXA,WKRC,70
WKRC,WKR,70
WKR,LXR,72
WKR,MVI,2
LXR,DL,72
DL,LMC,72
LMC,THAN,72
THAN,VD,72
VD,RA,72
RA,MOL,72
MOL,DXR,72
DXR,CJR,72
CJR,SUNR,72
SUNR,BLRD,75
BLRD,LTR,78
LTR,LPR,70
LTR,SRGT,18
LTR,VG,10
LPR,SR,70
SR,KHRS,70
KHRS,VNRD,70
VNRD,VG,69
VG,JKA,93
VG,JN,16
VG,JKS,4
JKA,VCN,94
VCN,CE,94
CE,WSE,94
WSE,SAU,94
SAU,GGM,94
GGM,ABD,94
ABD,SBI,82
ABD,SBT,10
ABD,ADI,1
MB,KGF,142
MB,HRH,77
MB,GOT,3
MB,LPB,88
MB,RMR,2
MB,MCV,24
MB,AII,2
MB,ANVT,1
MB,KGM,1
MB,BSB,2
MB,PLS,2
MB,LDP,1
MB,SCC,1
SBI,SBT,149
SBI,ADI,53
SBI,KLRD,8
SBI,KHD,9
SBI,CLDY,1
SBT,ADI,96
SBT,KLRD,64
SBT,CLDY,2
SBT,KHD,6
SBT,KLL,2
ADI,MAN,144
ADI,BRC,1
ADI,NEP,1
ADI,KEB,1
ADI,ASV,7
ADI,CLDY,1
ADI,BIM,1
ADI,LGH,1
KLRD,CDK,72
CDK,CLDY,63
CDK,KHD,8
CDK,SHRD,1
CLDY,KHD,54
CLDY,SHRD,1
KHD,SHRD,73
KHD,KLL,4
SHRD,KLL,75
KLL,CTRL,69
