station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
FM,KACHEGUDA FALAKNUMA,,HPG,HUPPUGUDA,,76,1.2
FM,KACHEGUDA FALAKNUMA,,NSVP,NPA SHIVARAMPALLI HALT,,40,4.1
HPG,HUPPUGUDA,,YKA,YAKUTPURA KACHEGUDA,,111,2.3
YKA,YAKUTPURA KACHEGUDA,,DQR,KACHEGUDA DBR,,111,0.7
DQR,KACHEGUDA DBR,,MXT,MALAKPET KACHEGUDA,,112,1.1
MXT,MALAKPET KACHEGUDA,,KCG,KACHEGUDA,,104,1.7
KCG,KACHEGUDA,,VAR,VIDYANAGAR,,100,1.9
VAR,VIDYANAGAR,,JOO,KACHEGUDA JAMIA OSMANIA,,104,1.2
JOO,KACHEGUDA JAMIA OSMANIA,,ATC,ARTS COLLEGE,,104,0.8
ATC,ARTS COLLEGE,,STPD,SITAFAL MANDI,,104,1.1
STPD,SITAFAL MANDI,,SC,SECUNDERABAD JN,,76,2.1
STPD,SITAFAL MANDI,,LGDH,LALAGUDA GATE,,22,1.4
SC,SECUNDERABAD JN,,JET,JAMES STREET,,128,1.5
SC,SECUNDERABAD JN,,LGDH,LALAGUDA GATE,,25,2.6
SC,SECUNDERABAD JN,,MLY,MAULA ALI,,83,5.3
SC,SECUNDERABAD JN,,BZA,VIJAYAWADA JN,,1,247.1
JET,JAMES STREET,,SJVP,SANJEEVAIAH PARK,,137,1.2
SJVP,SANJEEVAIAH PARK,,BMT,BEGAMPET,,133,1.8
SJVP,SANJEEVAIAH PARK,,NLRD,NECKLACE ROAD,Andhra Pradesh,4,2.0
BMT,BEGAMPET,,NCHS,NATURE CURE HOSPITAL,,165,1.0
BMT,BEGAMPET,,NLRD,NECKLACE ROAD,Andhra Pradesh,102,1.8
BMT,BEGAMPET,,YG,YADGIR,,2,160.9
BMT,BEGAMPET,,RC,RAICHUR,,2,182.8
NCHS,NATURE CURE HOSPITAL,,FNB,FATEHNAGAR,,164,1.2
NCHS,NATURE CURE HOSPITAL,,SNF,SANAT NAGAR,,1,2.5
FNB,FATEHNAGAR,,SNF,SANAT NAGAR,,162,1.6
FNB,FATEHNAGAR,,BTNR,BHARTNAGAR,,2,2.4
SNF,SANAT NAGAR,,BTNR,BHARTNAGAR,,163,0.8
BTNR,BHARTNAGAR,,BRBD,BORABANDA,,165,2.2
BRBD,BORABANDA,,HTCY,HITECH CITY,,165,2.7
HTCY,HITECH CITY,,HFZ,HAFIZPETA,,165,2.8
HFZ,HAFIZPETA,,CDNR,CHANDANAGAR,,165,3.1
CDNR,CHANDANAGAR,,LPI,LINGAMPALLI,,111,1.9
PNQ,PUNKUNNAM,,TCR,THRISUR,,164,2.3
PNQ,PUNKUNNAM,,AMLR,AMALA NAGAR,Kerala,12,5.1
PNQ,PUNKUNNAM,,MGK,MULANGUNNATHUKAVU,,155,6.9
TCR,THRISUR,,OLR,THRISSUR OLLUR HALT,,161,5.6
AMLR,AMALA NAGAR,Kerala,GUV,GURUVAYUR,Kerala,6,14.4
PBR,PORBANDAR,Gujarat,RWO,RANAVAV,Gujarat,12,12.9
PBR,PORBANDAR,Gujarat,JAM,JAMNAGAR,Gujarat,1,104.8
RWO,RANAVAV,Gujarat,RNBD,RANA BORDI,Gujarat,24,7.0
RNBD,RANA BORDI,Gujarat,SKR,SAKHPUR,Gujarat,24,5.7
SKR,SAKHPUR,Gujarat,WSJ,WANSJALIYA,Gujarat,24,7.0
WSJ,WANSJALIYA,Gujarat,BNVD,BHANVAD,Gujarat,16,16.7
WSJ,WANSJALIYA,Gujarat,KTLA,KATKOLA JN,Gujarat,6,6.0
BNVD,BHANVAD,Gujarat,GOP,GOP JAM,Gujarat,14,17.5
GOP,GOP JAM,Gujarat,LPJ,LALPUR JAM,Gujarat,14,16.3
LPJ,LALPUR JAM,Gujarat,KNLS,KANALAS JN,Gujarat,13,15.1
KNLS,KANALAS JN,Gujarat,PPLI,PIPLI,Gujarat,40,4.8
KNLS,KANALAS JN,Gujarat,MDPR,MODPUR,Gujarat,28,10.8
PPLI,PIPLI,Gujarat,LKBL,LAKHABAWAL,Gujarat,40,9.8
LKBL,LAKHABAWAL,Gujarat,JAM,JAMNAGAR,Gujarat,39,11.0
LKBL,LAKHABAWAL,Gujarat,HAPA,HAPA,Gujarat,1,13.9
JAM,JAMNAGAR,Gujarat,HAPA,HAPA,Gujarat,42,7.2
HAPA,HAPA,Gujarat,ALB,ALIA BADA,Gujarat,49,9.8
