train_number,n_stops,total_distance_km,avg_km_per_stop,n_skip_segments,stations_skipped
15901,550,5595.6,10.2,2,165
16317,502,5507.6,11.0,2,81
16787,458,5457.5,11.9,2,81
16687,482,5424.6,11.3,2,81
12507,551,5422.3,9.9,2,165
16031,365,4569.6,12.6,2,87
12834,297,4491.8,15.2,2,141
12987,247,4312.7,17.5,2,75
19269,354,4210.8,11.9,2,50
13352-Slip,356,4125.9,11.6,2,131
19568,324,4118.7,12.8,2,105
19050,243,4110.7,17.0,2,95
18601,260,4068.5,15.7,0,0
17305,250,4054.3,16.3,2,189
18101,264,4036.3,15.3,0,0
12779,249,4027.7,16.2,2,185
18406,252,4021.0,16.0,3,104
15905,595,4019.1,6.8,0,0
15906,595,4016.0,6.8,0,0
12833,296,3980.0,13.5,2,61
12315,304,3965.1,13.1,2,39
15015,244,3909.6,16.1,3,152
19052,199,3751.1,18.9,3,92
18238,249,3732.2,15.0,2,68
11065,246,3594.4,14.7,2,73
16381,318,3570.1,11.3,2,111
15635,425,3568.2,8.4,0,0
16318,502,3566.5,7.1,0,0
16688,482,3489.1,7.3,0,0
13111,233,3479.2,15.0,2,39
15902,553,3475.3,6.3,0,0
12516,592,3444.3,5.8,0,0
16688-Slip,456,3441.3,7.6,0,0
16318-Slip,456,3441.3,7.6,0,0
12515,592,3440.9,5.8,0,0
12521,481,3320.5,6.9,0,0
12522,481,3315.8,6.9,0,0
15667,362,3269.2,9.1,0,0
12508,552,3241.5,5.9,0,0
15930,493,3231.2,6.6,0,0
15929,492,3225.7,6.6,0,0
12484,445,3171.4,7.1,0,0
12483,445,3163.0,7.1,0,0
18238-Slip,189,3162.6,16.8,2,81
15636,425,3154.3,7.4,0,0
12511,465,3129.9,6.7,0,0
12512,465,3128.2,6.7,0,0
16733,411,3089.5,7.5,0,0
16734,411,3088.6,7.5,0,0
12288,417,3009.9,7.2,0,0
12287,418,3004.7,7.2,0,0
15668,362,2954.6,8.2,0,0
12218,416,2952.2,7.1,0,0
12217,416,2943.9,7.1,0,0
12510,497,2915.1,5.9,0,0
12509,496,2909.4,5.9,0,0
12626,397,2906.5,7.3,0,0
12625,396,2903.9,7.4,0,0
12641,387,2894.5,7.5,0,0
16360,381,2892.5,7.6,0,0
16359,383,2889.1,7.6,0,0
12642,387,2887.0,7.5,0,0
12644,393,2885.4,7.4,0,0
12643,393,2884.5,7.4,0,0
15612,418,2841.3,6.8,0,0
12970,357,2838.1,8.0,0,0
15611,418,2837.7,6.8,0,0
15934,389,2829.0,7.3,0,0
15933,388,2818.4,7.3,0,0
12578,399,2814.7,7.1,0,0
12577,396,2814.4,7.1,0,0
11045,324,2782.0,8.6,0,0
11046,323,2775.8,8.6,0,0
16032,365,2715.1,7.5,0,0
18402,376,2711.4,7.2,0,0
12432,374,2711.1,7.3,0,0
16310,453,2710.9,6.0,0,0
16309,453,2710.8,6.0,0,0
12431,374,2710.2,7.3,0,0
18401,376,2708.1,7.2,0,0
15630,416,2695.4,6.5,0,0
12646,351,2691.7,7.7,0,0
12645,351,2690.9,7.7,0,0
15629,416,2689.5,6.5,0,0
15228,463,2661.5,5.8,0,0
15227,463,2660.3,5.8,0,0
12652,361,2659.1,7.4,0,0
12651,361,2658.6,7.4,0,0
15648,354,2641.9,7.5,0,0
15647,352,2635.9,7.5,0,0
12295,362,2632.4,7.3,0,0
12296,361,2626.7,7.3,0,0
